student_id,topic_id,quiz_score,time_spent_minutes,error_count,attempts,days_since_activity,accuracy_rate,time_efficiency,struggle_flag,retention_score
1,121,75.2,6.1,0,1,4,75.2,12.327868852459018,0,0.5278317846139128
1,112,87.7,23.7,0,1,15,87.7,3.7004219409282704,0,0.11319432607600237
1,115,86.6,8.7,0,1,0,86.6,9.954022988505747,0,1.0
1,119,91.4,12.6,0,1,3,91.4,7.253968253968255,0,0.6542091698400598
1,107,79.5,11.8,1,2,3,39.75,6.73728813559322,0,0.6291909675701078
1,126,74.6,7.3,0,1,14,74.6,10.21917808219178,0,0.1056957060109805
1,105,77.5,15.4,0,1,6,77.5,5.032467532467533,0,0.39016854342397683
1,129,76.6,11.8,0,1,3,76.6,6.491525423728812,0,0.6225485577367338
1,127,70.2,6.9,0,1,19,70.2,10.173913043478262,0,0.042366485291361985
1,109,81.7,13.1,1,2,56,40.85,6.236641221374046,0,0.00020262042477383254
1,106,89.0,13.7,1,2,48,44.5,6.496350364963504,0,0.001001281278975685
1,123,68.3,18.6,0,2,2,34.15,3.6720430107526876,0,0.7131072742998813
1,117,93.8,7.6,0,1,41,93.8,12.342105263157896,0,0.0033380636187118995
1,110,75.7,11.3,0,1,3,75.7,6.699115044247788,0,0.6204396316150009
1,124,80.4,3.8,0,1,57,80.4,21.157894736842106,0,0.0001596811907473914
1,102,79.8,10.7,0,2,7,39.9,7.4579439252336455,0,0.34007726590959175
1,122,73.7,10.7,1,2,23,36.85,6.88785046728972,0,0.02426611826184538
1,104,84.1,9.2,0,1,26,84.1,9.141304347826088,0,0.020698310372436194
1,128,71.1,12.4,1,1,6,71.1,5.733870967741935,0,0.37123626066752524
1,108,77.3,10.9,0,1,1,77.3,7.091743119266055,0,0.8546107380177934
1,111,82.9,9.1,0,1,39,82.9,9.109890109890111,0,0.002825487134948715
1,116,78.7,9.9,0,1,42,78.7,7.94949494949495,0,0.0014636725934516115
1,118,76.2,20.5,0,1,34,76.2,3.7170731707317075,0,0.004569860575424508
1,113,93.1,7.3,0,1,9,93.1,12.753424657534246,0,0.2842612312609692
1,120,70.6,11.0,1,2,23,35.3,6.418181818181818,0,0.02205398377770996
1,101,84.2,6.5,0,1,0,84.2,12.953846153846154,0,1.0
1,125,80.4,16.1,0,1,3,80.4,4.9937888198757765,0,0.6312061921427502
1,114,75.7,9.1,0,1,2,75.7,8.31868131868132,0,0.7274442033413406
2,114,82.7,23.8,5,3,12,27.566666666666666,3.4747899159663866,1,0.16388491974708555
2,105,83.3,22.4,1,2,2,41.65,3.71875,0,0.7407626475058929
2,126,50.7,27.9,1,1,62,50.7,1.817204301075269,0,4.4893466620406385e-06
2,127,62.2,29.7,4,2,1,31.1,2.0942760942760943,1,0.8367306039088914
2,113,39.6,17.3,1,1,23,39.6,2.2890173410404624,0,0.0058933624406503175
2,110,72.7,11.0,1,1,54,72.7,6.609090909090909,0,0.00015043853083150972
2,124,42.3,21.1,2,2,24,21.15,2.0047393364928907,1,0.0055141742282415205
2,102,61.7,18.7,4,2,31,30.85,3.2994652406417115,1,0.0038851957285749366
2,100,48.3,23.9,2,1,39,48.3,2.0209205020920504,1,0.00035803021197588044
2,120,65.1,12.3,3,2,18,32.55,5.292682926829268,1,0.04381780530425354
2,101,60.7,20.7,1,1,4,60.7,2.9323671497584543,0,0.4854524708304656
2,128,66.9,28.0,1,1,6,66.9,2.3892857142857147,0,0.35825208519517904
2,109,46.0,9.8,3,2,13,23.0,4.693877551020408,1,0.06664779385646828
2,106,77.1,26.6,2,2,21,38.55,2.8984962406015033,1,0.036718129364876916
2,122,49.3,1.0,2,3,0,16.433333333333334,49.3,0,1.0
2,108,76.8,2.0,0,1,6,76.8,38.4,0,0.388146575128099
2,115,59.4,23.2,0,2,8,29.7,2.560344827586207,0,0.23165111544374659
2,116,59.7,25.0,3,2,19,29.85,2.388,1,0.03130452236450988
2,123,60.3,11.0,1,1,4,60.3,5.4818181818181815,0,0.4841818832823344
2,111,57.3,23.2,1,1,3,57.3,2.4698275862068964,0,0.571677721963979
2,107,27.3,5.0,0,1,1,27.3,5.46,0,0.7720297355398982
2,112,74.4,15.2,3,2,32,37.2,4.894736842105264,1,0.00583025503809853
2,125,60.1,31.5,1,2,5,30.05,1.907936507936508,0,0.4032231236922172
2,104,35.0,9.1,1,1,23,35.0,3.8461538461538463,0,0.004463756040231238
2,129,40.4,21.9,1,1,85,40.4,1.8447488584474887,0,6.807031366505819e-09
2,121,24.9,27.3,1,1,27,24.9,0.9120879120879121,0,0.0007394433998925239
2,117,43.0,22.3,1,1,3,43.0,1.9282511210762332,0,0.5245779259399983
2,118,72.7,14.6,1,1,10,72.7,4.979452054794521,0,0.19593117095146143
2,119,69.6,21.8,2,2,5,34.8,3.192660550458715,1,0.4333886401030203
3,100,76.1,44.8,1,2,18,38.05,1.6986607142857142,0,0.05756289622047983
3,110,69.4,43.4,0,1,44,69.4,1.5990783410138252,0,0.0006297521336754525
3,101,61.0,47.3,0,2,10,30.5,1.2896405919661735,0,0.1650013205464438
