student_id,archetype_id,archetype_name
1,0,high_achiever
2,4,inconsistent
3,3,diligent_slow
4,2,fast_careless
5,2,fast_careless
6,5,disengaged
7,0,high_achiever
8,4,inconsistent
9,1,struggling
10,0,high_achiever
11,3,diligent_slow
12,5,disengaged
13,4,inconsistent
14,4,inconsistent
15,4,inconsistent
16,4,inconsistent
17,3,diligent_slow
18,0,high_achiever
19,5,disengaged
20,2,fast_careless
21,3,diligent_slow
22,2,fast_careless
23,1,struggling
24,5,disengaged
25,4,inconsistent
26,3,diligent_slow
27,2,fast_careless
28,4,inconsistent
29,3,diligent_slow
30,2,fast_careless
31,2,fast_careless
32,1,struggling
33,0,high_achiever
34,3,diligent_slow
35,5,disengaged
36,0,high_achiever
37,5,disengaged
38,4,inconsistent
39,1,struggling
40,3,diligent_slow
41,0,high_achiever
42,4,inconsistent
43,4,inconsistent
44,2,fast_careless
45,0,high_achiever
46,5,disengaged
47,2,fast_careless
48,5,disengaged
49,4,inconsistent
50,4,inconsistent
51,4,inconsistent
52,1,struggling
53,2,fast_careless
54,2,fast_careless
55,2,fast_careless
56,0,high_achiever
57,3,diligent_slow
58,0,high_achiever
59,4,inconsistent
60,4,inconsistent
61,5,disengaged
62,4,inconsistent
63,2,fast_careless
64,5,disengaged
65,2,fast_careless
66,1,struggling
67,5,disengaged
68,2,fast_careless
69,0,high_achiever
70,2,fast_careless
71,4,inconsistent
72,1,struggling
73,2,fast_careless
74,0,high_achiever
75,4,inconsistent
76,2,fast_careless
77,1,struggling
78,1,struggling
79,3,diligent_slow
80,4,inconsistent
81,5,disengaged
82,2,fast_careless
83,0,high_achiever
84,4,inconsistent
85,3,diligent_slow
86,4,inconsistent
87,0,high_achiever
88,1,struggling
89,4,inconsistent
90,4,inconsistent
91,2,fast_careless
92,4,inconsistent
93,5,disengaged
94,2,fast_careless
95,5,disengaged
96,1,struggling
97,1,struggling
98,4,inconsistent
99,3,diligent_slow
100,0,high_achiever
101,4,inconsistent
102,1,struggling
103,4,inconsistent
104,0,high_achiever
105,4,inconsistent
106,4,inconsistent
107,4,inconsistent
108,3,diligent_slow
109,2,fast_careless
110,4,inconsistent
111,1,struggling
112,4,inconsistent
113,3,diligent_slow
114,2,fast_careless
115,3,diligent_slow
116,3,diligent_slow
117,0,high_achiever
118,0,high_achiever
119,1,struggling
120,0,high_achiever
121,2,fast_careless
122,4,inconsistent
123,3,diligent_slow
124,2,fast_careless
125,5,disengaged
126,3,diligent_slow
127,0,high_achiever
128,4,inconsistent
129,3,diligent_slow
130,3,diligent_slow
131,3,diligent_slow
132,3,diligent_slow
133,0,high_achiever
134,3,diligent_slow
135,4,inconsistent
136,1,struggling
137,3,diligent_slow
138,0,high_achiever
139,2,fast_careless
140,2,fast_careless
141,5,disengaged
142,1,struggling
143,1,struggling
144,2,fast_careless
145,5,disengaged
146,5,disengaged
147,0,high_achiever
148,1,struggling
149,4,inconsistent
150,0,high_achiever
151,5,disengaged
152,1,struggling
153,5,disengaged
154,1,struggling
155,2,fast_careless
156,3,diligent_slow
157,0,high_achiever
158,3,diligent_slow
159,3,diligent_slow
160,4,inconsistent
161,5,disengaged
162,3,diligent_slow
163,2,fast_careless
164,2,fast_careless
165,2,fast_careless
166,4,inconsistent
167,1,struggling
168,1,struggling
169,2,fast_careless
170,0,high_achiever
171,0,high_achiever
172,0,high_achiever
173,4,inconsistent
174,4,inconsistent
175,4,inconsistent
176,2,fast_careless
177,4,inconsistent
178,0,high_achiever
179,5,disengaged
180,3,diligent_slow
181,5,disengaged
182,0,high_achiever
183,2,fast_careless
184,4,inconsistent
185,2,fast_careless
186,2,fast_careless
187,0,high_achiever
188,2,fast_careless
189,1,struggling
190,1,struggling
191,4,inconsistent
192,3,diligent_slow
193,3,diligent_slow
194,2,fast_careless
195,5,disengaged
196,0,high_achiever
197,2,fast_careless
198,0,high_achiever
199,2,fast_careless
200,5,disengaged
